Time,Node-Strength-Variance,P1_Strategy1-Mean,P1_Strategy1-Variance,P1_Strategy2-Mean,P1_Strategy2-Variance,P2_Strategy1-Mean,P2_Strategy1-Variance,P2_Strategy2-Mean,P2_Strategy2-Variance,0-0,0-1,1-0,1-1
1,0.000,0.502,0.009,0.498,0.009,0.524,0.009,0.476,0.009,0.263,0.240,0.261,0.237
2,0.001,0.508,0.019,0.492,0.019,0.531,0.013,0.469,0.013,0.268,0.240,0.260,0.232
3,0.003,0.505,0.022,0.495,0.022,0.550,0.021,0.450,0.021,0.275,0.230,0.270,0.225
4,0.005,0.490,0.022,0.510,0.022,0.557,0.018,0.443,0.018,0.270,0.220,0.282,0.228
5,0.006,0.506,0.034,0.494,0.034,0.570,0.019,0.430,0.019,0.285,0.220,0.280,0.215
6,0.006,0.498,0.039,0.502,0.039,0.569,0.025,0.431,0.025,0.281,0.218,0.282,0.219
7,0.008,0.485,0.041,0.515,0.041,0.577,0.028,0.423,0.028,0.276,0.209,0.293,0.222
8,0.009,0.483,0.046,0.517,0.046,0.594,0.029,0.406,0.029,0.282,0.201,0.303,0.214
9,0.010,0.477,0.051,0.523,0.051,0.599,0.035,0.401,0.035,0.280,0.196,0.308,0.215
10,0.011,0.474,0.052,0.526,0.052,0.616,0.034,0.384,0.034,0.286,0.188,0.318,0.209
11,0.014,0.479,0.050,0.521,0.050,0.608,0.040,0.392,0.040,0.283,0.196,0.309,0.212
12,0.016,0.504,0.054,0.496,0.054,0.610,0.040,0.390,0.040,0.297,0.207,0.294,0.202
13,0.015,0.515,0.056,0.485,0.056,0.617,0.040,0.383,0.040,0.308,0.207,0.291,0.193
14,0.020,0.515,0.060,0.485,0.060,0.616,0.042,0.384,0.042,0.306,0.209,0.291,0.194
15,0.021,0.513,0.063,0.487,0.063,0.610,0.046,0.390,0.046,0.302,0.212,0.287,0.199
16,0.023,0.514,0.064,0.486,0.064,0.618,0.048,0.382,0.048,0.304,0.209,0.290,0.196
17,0.026,0.509,0.066,0.491,0.066,0.617,0.051,0.383,0.051,0.300,0.209,0.290,0.201
18,0.030,0.501,0.067,0.499,0.067,0.624,0.055,0.376,0.055,0.298,0.203,0.297,0.202
19,0.033,0.502,0.071,0.498,0.071,0.636,0.058,0.364,0.058,0.301,0.200,0.300,0.198
20,0.034,0.498,0.074,0.502,0.074,0.642,0.055,0.358,0.055,0.302,0.196,0.305,0.197
21,0.034,0.502,0.077,0.498,0.077,0.647,0.058,0.353,0.058,0.307,0.196,0.304,0.193
22,0.034,0.504,0.078,0.496,0.078,0.645,0.054,0.355,0.054,0.307,0.197,0.302,0.193
23,0.040,0.506,0.078,0.494,0.078,0.645,0.056,0.355,0.056,0.308,0.198,0.299,0.195
24,0.040,0.510,0.081,0.490,0.081,0.643,0.058,0.357,0.058,0.309,0.201,0.295,0.195
25,0.043,0.504,0.082,0.496,0.082,0.650,0.059,0.350,0.059,0.308,0.196,0.302,0.194
26,0.044,0.502,0.081,0.498,0.081,0.665,0.053,0.335,0.053,0.315,0.187,0.312,0.186
27,0.045,0.505,0.083,0.495,0.083,0.675,0.054,0.325,0.054,0.320,0.185,0.315,0.180
28,0.047,0.503,0.084,0.497,0.084,0.682,0.052,0.318,0.052,0.323,0.181,0.319,0.178
29,0.053,0.501,0.085,0.499,0.085,0.681,0.055,0.319,0.055,0.319,0.182,0.318,0.181
30,0.056,0.505,0.085,0.495,0.085,0.684,0.057,0.316,0.057,0.321,0.184,0.316,0.180
31,0.061,0.506,0.088,0.494,0.088,0.687,0.058,0.313,0.058,0.321,0.184,0.316,0.179
